bx,by,bz,rx,ry,rz,heading
-0.1459221,-0.04362444,1.0859959,-1.9403429,0.048373416,0.61373967,-0.06870125979185104
-0.25223657,-0.04381069,1.0632241,-1.9380069,0.053689726,0.61642146,-0.07508406788110733
-0.35741237,-0.04399495,1.0367911,-1.9347543,0.059084047,0.6201173,-0.08202993124723434
-0.46146387,-0.044177238,1.0067354,-1.9308605,0.06436144,0.6243119,-0.08982250094413757
-0.56440395,-0.04435758,0.9730957,-1.9265155,0.06927959,0.6285061,-0.09922090172767639
-0.666244,-0.04453599,0.93591046,-1.9218467,0.073645175,0.6323601,-0.11071617156267166
-0.766994,-0.044712495,0.89521813,-1.9170508,0.07754472,0.6356963,-0.12381438165903091
-0.8666626,-0.044887107,0.8510575,-1.9123374,0.08131875,0.63852847,-0.13784067332744598
-0.9652577,-0.04505983,0.8034678,-1.90783,0.085327975,0.640975,-0.15233471989631653
-1.0404195,-0.04519054,0.842312,-1.9034159,0.08974723,0.64321786,-0.16715779900550842
-1.1138536,-0.045318026,0.88132226,-1.8987406,0.09460684,0.64522195,-0.18067362904548645
-1.1866928,-0.045444477,0.9161065,-1.8939563,0.09952533,0.64654976,-0.19028343260288239
-1.2589587,-0.045569938,0.9467069,-1.8895597,0.104295895,0.64685893,-0.19644494354724884
-1.3306711,-0.045694437,0.9731622,-1.8857306,0.10907921,0.6460109,-0.20206376910209656
-1.4018478,-0.045818005,0.9955091,-1.882286,0.113994345,0.6440307,-0.207062229514122
-1.4725053,-0.04594067,1.0137817,-1.8785577,0.119625136,0.64262336,-0.20792967081069946
-1.5426577,-0.04606246,1.0280123,-1.8754714,0.12561041,0.64235306,-0.21405166387557983
-1.6123177,-0.046183392,1.0382314,-1.8736571,0.13187306,0.64249563,-0.221831277012825
-1.6157849,-0.040141538,0.9840292,-1.8729227,0.13853881,0.6426247,-0.22785241901874542
-1.5881269,-0.03133282,0.896439,-1.8734596,0.14543916,0.6419952,-0.23536986112594604
-1.5607243,-0.022605445,0.8057503,-1.8750466,0.15193106,0.6405469,-0.24631381034851074
-1.5335822,-0.013961106,0.7120175,-1.876931,0.15698601,0.6390474,-0.2528841197490692
-1.506706,-0.005401396,0.6152957,-1.8788171,0.16041633,0.63804245,-0.250228613615036
-1.4801004,0.0030721845,0.5156412,-1.880669,0.16264169,0.63757867,-0.24029666185379028
-1.4537694,0.01145824,0.41311044,-1.8825133,0.16408636,0.63738096,-0.22989611327648163
-1.4277173,0.019755471,0.30776057,-1.884409,0.16505997,0.63712096,-0.22309261560440063
-1.4019481,0.027962679,0.19964913,-1.886423,0.16562231,0.6366057,-0.21830755472183228
-1.376465,0.03607876,0.088833846,-1.8885556,0.1657101,0.63583136,-0.2131483554840088
1.232287,0.02970316,1.061789,-1.8907056,0.1653041,0.6348965,-0.2071685791015625
1.1159807,0.020178692,1.0892953,-1.8927935,0.1643239,0.63382006,-0.2010805755853653
1.0010375,0.01076585,1.1125757,-1.8948187,0.16268814,0.6324841,-0.19698184728622437
0.88741696,0.0014613261,1.1316845,-1.8966637,0.16056706,0.63074744,-0.19632457196712494
0.7750819,-0.0077379323,1.1466731,-1.8984319,0.15829551,0.62843555,-0.19794221222400665
0.6639977,-0.016834753,1.1575902,-1.9001682,0.15608965,0.6254517,-0.20009563863277435
0.55413276,-0.025831733,1.1644828,-1.9016342,0.15359055,0.6219523,-0.20360469818115234
0.4454578,-0.03473126,1.1673958,-1.902736,0.15009908,0.6183297,-0.20806513726711273
0.3379461,-0.04353553,1.1663725,-1.9033735,0.14545918,0.61529964,-0.2115466147661209
0.23157333,-0.05224652,1.1614548,-1.9037592,0.13997798,0.6129986,-0.21500539779663086
0.12631744,-0.060866047,1.1526833,-1.9040626,0.13400237,0.6113358,-0.21759773790836334
